Date,Month,Day,CasesTotal,DeathsTotal,HospitalizationsTotal,CasesAge 017,CasesAge 1829,CasesAge 3039,CasesAge 4049,CasesAge 5059,CasesAge 6069,CasesAge 7079,CasesAge 80plus,CasesAge Unknown,Cases Female,Cases Male,Cases Unknown Gender,CasesLatinx,CasesAsianNonLatinx,CasesBlackNonLatinx,CasesWhiteNonLatinx,CasesOtherRaceNonLatinx,CasesUnknownRaceEthnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,DeathsLatinx,DeathsAsianNonLatinx,DeathsBlackNonLatinx,DeathsWhiteNonLatinx,DeathsOtherRaceNonLatinx,DeathsUnknownRaceEthnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,HospitalizationsLatinx,HospitalizationsAsianNonLatinx,HospitalizationsBlackNonLatinx,HospitalizationsWhiteNonLatinx,HospitalizationsOtherRaceNonLatinx,HospitalizationsUnknownRaceEthnicity
09/16/2020,9,16,364,4,25,49,118,77,47,34,25,11,3,0,204,158,2,167,5,54,79,5,54,0,0,0,0,0,2,1,1,0,3,1,0,1,0,1,2,0,0,1,3,2,3,0,10,5,1,0,18,6,1,8,0,6,7,1,3
09/04/2020,9,4,382,2,16,58,99,80,50,37,32,16,10,0,201,179,2,179,10,68,75,8,42,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,3,1,2,2,2,3,3,0,11,5,0,8,0,7,1,0,0
09/26/2020,9,26,32,0,,1,10,10,5,4,2,0,0,0,16,16,0,7,1,2,15,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
07/15/2020,7,15,267,7,19,30,83,51,33,34,18,12,6,0,149,118,0,97,4,83,40,11,32,0,0,0,0,2,2,1,2,0,3,4,0,1,0,6,0,0,0,0,5,2,1,2,3,4,2,0,11,8,0,6,0,8,4,1,0
,,,142,0,375,4,32,27,25,25,14,10,4,1,69,67,6,24,7,38,12,6,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,48,54,63,57,55,47,35,0,176,192,7,126,14,137,64,19,15
06/13/2020,6,13,121,18,17,13,26,19,14,22,14,7,6,0,66,55,0,47,0,22,16,8,28,0,0,0,0,3,5,5,5,0,11,7,0,3,1,6,8,0,0,0,2,0,4,2,3,1,5,0,9,8,0,6,0,7,4,0,0
06/08/2020,6,8,273,15,31,21,63,48,49,40,24,15,13,0,136,131,6,136,3,43,28,9,54,0,0,1,1,2,2,3,6,0,6,9,0,5,1,5,3,1,0,1,5,1,4,7,4,3,6,0,17,14,0,9,2,12,6,2,0
04/21/2020,4,21,872,36,167,20,150,164,158,151,109,56,64,0,436,428,8,357,13,207,117,38,140,0,1,0,3,0,7,11,14,0,14,22,0,12,2,18,4,0,0,1,5,10,16,33,35,33,34,0,70,96,1,56,4,70,25,10,2
07/11/2020,7,11,155,2,17,9,69,22,22,13,12,8,0,0,79,76,0,33,3,43,34,13,29,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,5,1,1,1,4,4,1,0,8,9,0,4,0,12,1,0,0
06/21/2020,6,21,47,11,13,4,16,11,3,7,2,3,1,0,28,19,0,16,1,10,6,2,12,0,0,1,0,1,3,3,3,0,6,5,0,4,0,3,4,0,0,1,2,0,1,2,3,3,1,0,8,5,0,6,0,4,2,1,0
